序号,书籍封面,书名,推荐,出版时间,出版社,五星评价人数,现价,原价,折扣
261,http://img3m6.ddimg.cn/72/17/23181516-1_l_8.jpg,八十天环游地球（中小学新课标必读名著）100000多名读者热评！,99.9%推荐,2013-02-01,五星评分：,2035,&yen;12.30,&yen;15.80,7.8折
262,http://img3m9.ddimg.cn/59/13/28499189-1_l_6.jpg,53天天练 小学语文 一年级下册 RJ（人教版）2020年春（含答案册及课堂笔记，赠测评卷）部编版,99.8%推荐,2019-12-13,五星评分：,83,&yen;35.30,&yen;36.80,9.6折
263,http://img3m1.ddimg.cn/77/0/25072421-1_l_14.jpg,外婆的道歉信（畅销100万册，马思纯领读书目。人民日报、央视好评。张皓宸、七英俊推荐。口碑爆棚的温情小说。附赠一封神秘道歉信）,99.9%推荐,2017-05-01,五星评分：,5548,&yen;41.10,&yen;42.00,9.8折
264,http://img3m9.ddimg.cn/94/1/24228859-1_l_5.jpg,钢铁是怎样炼成的（新课标・部编本教材推荐阅读  八年级下）,100%推荐,2017-04-01,五星评分：,1856,&yen;19.50,&yen;26.00,7.5折
265,http://img3m9.ddimg.cn/10/20/28475479-1_l_3.jpg,渎心者（给喜欢思维挑战者的书）,100%推荐,2019-09-01,五星评分：,278,&yen;32.40,&yen;45.00,7.2折
266,http://img3m5.ddimg.cn/79/23/25536535-1_l_3.jpg,地图 人文版（升级版）手绘世界地图 儿童百科绘本,100%推荐,2018-11-01,五星评分：,1600,&yen;149.50,&yen;168.00,8.9折
267,http://img3m0.ddimg.cn/85/31/28485850-1_l_9.jpg,庆余年・远来是客（陈道明、张若昀、吴刚、李沁、肖战主演电视剧原著小说，修订版第一卷）,100%推荐,2019-11-01,五星评分：,331,&yen;39.00,&yen;39.00,10.0折
268,http://img3m1.ddimg.cn/9/31/28490031-1_l_6.jpg,庆余年・人在京都（陈道明、张若昀、吴刚、李沁、肖战主演电视剧原著小说，修订版第二卷）,100%推荐,2019-11-01,五星评分：,323,&yen;39.00,&yen;39.00,10.0折
269,http://img3m3.ddimg.cn/92/29/26516153-1_l_4.jpg,局外人（如果你在人群中感到格格不入，一定要读《局外人》 ！全新精装插图珍藏版！诺奖作品，此生必读，耐人回味。）【读客经典文库】,100%推荐,2019-03-01,五星评分：,2885,&yen;41.40,&yen;45.00,9.2折
270,http://img3m1.ddimg.cn/51/7/23964981-1_l_5.jpg,自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作家协会推荐精读）,99.9%推荐,2016-05-01,五星评分：,5947,&yen;35.70,&yen;39.00,9.2折
271,http://img3m2.ddimg.cn/42/23/28496202-1_l_5.jpg,从你的全世界错过,100%推荐,2020-01-01,五星评分：,362,&yen;44.10,&yen;45.00,9.8折
272,http://img3m9.ddimg.cn/71/22/23197949-1_l_4.jpg,呼兰河传（中小学新课标必读名著）72000多名读者热评！,99.9%推荐,2013-02-01,五星评分：,1378,&yen;12.30,&yen;15.80,7.8折
273,http://img3m9.ddimg.cn/93/8/25092039-1_l_3.jpg,活着（精装版，余华代表作，易烊千玺推荐阅读版本）,100%推荐,2017-06-01,五星评分：,9073,&yen;23.30,&yen;35.00,6.7折
274,http://img3m4.ddimg.cn/88/10/24057484-1_l_9.jpg,刻意练习：如何从新手到大师 团购电话:4001066666转6,99.9%推荐,2016-10-24,五星评分：,2032,&yen;21.30,&yen;39.00,5.5折
275,http://img3m8.ddimg.cn/97/8/23812468-1_l_1.jpg,郑渊洁四大名传（全4册）,99.9%推荐,2015-12-01,五星评分：,4050,&yen;83.00,&yen;100.00,8.3折
276,http://img3m7.ddimg.cn/54/27/22790547-1_l_1.jpg,全球最美的100个地方 图说天下 国家地理,99.9%推荐,2012-06-01,五星评分：,2110,&yen;15.90,&yen;19.90,8.0折
277,http://img3m1.ddimg.cn/94/31/26193811-1_l_12.jpg,共情的力量：情商高的人，如何抚慰受伤的灵魂,100%推荐,2019-01-01,五星评分：,1002,&yen;43.40,&yen;49.80,8.7折
278,http://img3m9.ddimg.cn/92/20/25352309-1_l_16.jpg,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习必备启蒙书，附赠超实用拼音全表） 小猛犸童书出品,100%推荐,2018-10-15,五星评分：,1782,&yen;87.10,&yen;99.00,8.8折
279,http://img3m1.ddimg.cn/83/1/23323691-1_l_10.jpg,曹文轩文集典藏版（全7册）,99.9%推荐,2013-09-01,五星评分：,6306,&yen;139.40,&yen;168.00,8.3折
280,http://img3m4.ddimg.cn/88/18/25261324-1_l_3.jpg,米小圈上学记三年级（套装共4册）,100%推荐,2018-04-01,五星评分：,27329,&yen;83.00,&yen;100.00,8.3折
281,http://img3m8.ddimg.cn/47/17/22800638-1_l_11.jpg,伊索寓言 统编小学语文教材三年级下册快乐读书吧推荐必读书目 120000多名读者热评！,99.9%推荐,2012-07-01,五星评分：,1341,&yen;12.60,&yen;14.80,8.5折
282,http://img3m4.ddimg.cn/32/28/22819334-1_l_3.jpg,围城,100%推荐,1991-02-01,五星评分：,9734,&yen;27.30,&yen;39.00,7.0折
283,http://img3m9.ddimg.cn/56/27/26482259-1_l_10.jpg,断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰的减法哲学,100%推荐,2019-01-11,五星评分：,1257,&yen;44.10,&yen;45.00,9.8折
284,http://img3m2.ddimg.cn/46/33/25230592-1_l_5.jpg,愿望的实现 二年级下册 曹文轩 陈先云 主编 统编语文教科书必读书目 人教版快乐读书吧名著阅读课程化丛书,100%推荐,2018-01-01,五星评分：,1400,&yen;9.70,&yen;10.00,9.7折
285,http://img3m3.ddimg.cn/31/27/25163653-1_l_4.jpg,自卑与超越（白岩松推荐，完整全译本未删节）,100%推荐,2017-09-01,五星评分：,1588,&yen;22.00,&yen;25.00,8.8折
286,http://img3m2.ddimg.cn/76/20/27880852-1_l_3.jpg,口才三绝 为人三会 修心三不（共3册）,99.9%推荐,2018-11-01,五星评分：,610,&yen;44.70,&yen;89.40,5.0折
287,http://img3m6.ddimg.cn/75/15/1557588756-1_l_3.jpg,2021心理学考研 312心理学考研教材全套书 普通心理学彭聃龄 社会心理学第三版 发展心理学心理学考研312,100%推荐,2017-01-01,五星评分：,104,&yen;235.00,&yen;410.00,5.7折
288,http://img3m2.ddimg.cn/32/4/23662022-1_l_9.jpg,草房子（当当网定制版）,100%推荐,2015-03-01,五星评分：,5724,&yen;20.80,&yen;25.00,8.3折
289,http://img3m1.ddimg.cn/23/34/25340261-1_l_2.jpg,地狱变：芥川龙之介代表作，人生比地狱更像地狱！,100%推荐,2018-09-01,五星评分：,792,&yen;43.90,&yen;48.00,9.1折
290,http://img3m0.ddimg.cn/1/19/25283710-1_l_3.jpg,海底两万里(教育部统编《语文》推荐阅读丛书)部编教材七年级下册推荐阅读,100%推荐,2018-06-01,五星评分：,783,&yen;32.40,&yen;35.00,9.3折
291,http://img3m2.ddimg.cn/66/21/28510482-1_l_3.jpg,得到你的一百种方式（陈楸帆、杨璐、张均斌、温智凡跨界推荐！“斜杠青年”崔书馨以绮幻之笔，抒写都市情感困境，聚焦都市人复杂且微妙的心灵世界。）,100%推荐,2020-03-03,五星评分：,67,&yen;36.60,&yen;42.00,8.7折
292,http://img3m2.ddimg.cn/25/36/27878722-1_l_26.jpg,小孩（大冰2019全新作品！5分钟销量6.3万册+，30分钟突破12.4万册，再创历史新高！）,100%推荐,2019-07-01,五星评分：,7874,&yen;38.80,&yen;39.60,9.8折
293,http://img3m8.ddimg.cn/77/28/23311508-1_l_5.jpg,无人生还：阿加莎 克里斯蒂作品集10（销售记录超过一亿册的侦探小说 被改编为二十部影视剧 同名话剧七十年常演不衰）,100%推荐,2013-07-01,五星评分：,2875,&yen;27.40,&yen;28.00,9.8折
294,http://img3m6.ddimg.cn/35/28/25126136-1_l_3.jpg,骆驼祥子（新课标・部编本教材推荐阅读  七年级下）,100%推荐,2017-08-01,五星评分：,2254,&yen;16.50,&yen;22.00,7.5折
295,http://img3m8.ddimg.cn/64/22/25247638-1_l_1.jpg,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,99.9%推荐,2018-04-06,五星评分：,2650,&yen;39.20,&yen;45.00,8.7折
296,http://img3m4.ddimg.cn/59/9/25351484-1_l_3.jpg,曼巴精神：科比自传（精装）,99.9%推荐,2018-11-01,五星评分：,837,&yen;93.00,&yen;124.08,7.5折
297,http://img3m8.ddimg.cn/50/28/25172978-1_l_5.jpg,牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、李现、黄轩、TFBOYS、高圆圆推荐，能改变一个人一生的书）,100%推荐,2018-01-01,五星评分：,7623,&yen;24.20,&yen;35.00,6.9折
298,http://img3m5.ddimg.cn/35/17/28500155-1_l_3.jpg,2020年6月新试卷星火英语四级真题备考2020试卷全真试题+标准模拟(4级）刷题真题词汇写作听力口语,99.9%推荐,2020-01-01,五星评分：,80,&yen;46.00,&yen;59.80,7.7折
299,http://img3m4.ddimg.cn/69/33/22732944-1_l_6.jpg,你好！数学（超值礼品盒装，共30册）,99.8%推荐,2012-04-01,五星评分：,1944,&yen;199.20,&yen;240.00,8.3折
300,http://img3m9.ddimg.cn/44/17/25112879-1_l_5.jpg,骆驼祥子 七年级下 人教版名著阅读课程化丛书 教育部统编教材推荐必读书目 人民教育出版社,100%推荐,2017-06-01,五星评分：,734,&yen;21.60,&yen;28.80,7.5折
301,http://img3m9.ddimg.cn/73/31/23504059-1_l_7.jpg,小猪唏哩呼噜(注音版上、下),100%推荐,2014-07-01,五星评分：,5682,&yen;30.00,&yen;30.00,10.0折
302,http://img3m2.ddimg.cn/10/32/24021172-1_l_2.jpg,古文观止（上下）,99.9%推荐,2016-09-01,五星评分：,3171,&yen;41.40,&yen;52.00,8.0折
303,http://img3m7.ddimg.cn/34/1/25257607-1_l_3.jpg,装在口袋里的爸爸 曹文轩推荐儿童文学经典书系 3万多名读者热评！,100%推荐,2015-12-01,五星评分：,650,&yen;15.60,&yen;20.80,7.5折
304,http://img3m3.ddimg.cn/56/26/27899543-1_l_4.jpg,汴京之围：北宋末年的外交、战争和人（马伯庸、罗振宇、虞云国鼎力推荐！新浪好书2019年度推荐图书！随书赠送价值58元同名精品有声书）,99.9%推荐,2019-07-01,五星评分：,922,&yen;67.90,&yen;78.00,8.7折
305,http://img3m1.ddimg.cn/64/11/25097851-1_l_9.jpg,四大名著全套  锁线精装 青少年版 中小学生版 原著正版白话文儿童少儿版三国演义西游记红楼梦水浒传中小学生五六年级非注音版文学书,99.9%推荐,2016-02-01,五星评分：,2791,&yen;77.50,&yen;119.20,6.5折
306,http://img3m4.ddimg.cn/29/33/25198994-1_l_7.jpg,成语接龙（彩图注音版）小学生语文新课标必读丛书,100%推荐,2012-06-01,五星评分：,976,&yen;11.30,&yen;13.80,8.2折
307,http://img3m3.ddimg.cn/42/9/27880323-1_l_1.jpg,小学生英语音标速查表2,99.9%推荐,2019-04-01,五星评分：,404,&yen;3.00,&yen;3.50,8.6折
308,http://img3m4.ddimg.cn/61/33/25240804-1_l_3.jpg,十二生肖的故事――（启发童书馆出品）,100%推荐,2018-02-28,五星评分：,1479,&yen;37.80,&yen;39.80,9.5折
309,http://img3m0.ddimg.cn/30/25/24156030-1_l_12.jpg,长安十二时辰（上下册）,99.9%推荐,2016-11-21,五星评分：,3881,&yen;77.90,&yen;79.60,9.8折
310,http://img3m6.ddimg.cn/13/9/28485976-1_l_3.jpg,53天天练 小学数学 二年级下册 RJ（人教版）2020年春（含答案册及口算册，赠测评卷）,99.9%推荐,2019-11-01,五星评分：,85,&yen;35.30,&yen;36.80,9.6折
311,http://img3m2.ddimg.cn/5/16/25204712-1_l_3.jpg,小鸡球球成长绘本系列：全6册,100%推荐,2018-02-02,五星评分：,10421,&yen;121.40,&yen;142.80,8.5折
312,http://img3m8.ddimg.cn/87/1/25289538-1_l_7.jpg,小熊宝宝绘本（2018版全15册）蒲蒲兰经典畅销绘本！新手妈妈的育儿宝典，销量超千万册！(0-3岁),100%推荐,2007-05-16,五星评分：,2324,&yen;91.20,&yen;96.00,9.5折
313,http://img3m1.ddimg.cn/20/17/28511921-1_l_3.jpg,拒绝生病：预防和遏制致命慢性疾病的65条科学法则（乔布斯主治医师大卫?阿古斯博士全新力作！《纽约时报》畅销书，全球畅销18个国家和地区）,100%推荐,2020-01-01,五星评分：,106,&yen;48.90,&yen;49.90,9.8折
314,http://img3m7.ddimg.cn/57/11/28499187-1_l_3.jpg,53天天练 小学语文 四年级下册 RJ（人教版）2020年春（含答案册及课堂笔记，赠测评卷）部编版,99.7%推荐,2019-12-13,五星评分：,64,&yen;35.30,&yen;36.80,9.6折
315,http://img3m5.ddimg.cn/64/14/25102405-1_l_3.jpg,把坏脾气收起来,100%推荐,2017-08-01,五星评分：,2586,&yen;34.20,&yen;36.00,9.5折
316,http://img3m6.ddimg.cn/90/20/25261326-1_l_3.jpg,米小圈上学记四年级（套装共4册）,100%推荐,2018-04-01,五星评分：,45118,&yen;83.00,&yen;100.00,8.3折
317,http://img3m7.ddimg.cn/50/25/23706887-1_l_1.jpg,我是猫（陈乔恩推荐！百万畅销译本。日本“国民大师”夏目漱石笔下会“吐槽”的猫。译文轻松幽默，好读，爱猫的你一定喜欢）,99.9%推荐,2015-06-01,五星评分：,2289,&yen;39.00,&yen;39.80,9.8折
318,http://img3m8.ddimg.cn/44/22/28476998-1_l_6.jpg,康辉：平均分（当当印签版书法）,99.9%推荐,2019-11-08,五星评分：,254,&yen;54.30,&yen;58.00,9.4折
319,http://img3m8.ddimg.cn/67/35/25173688-1_l_5.jpg,时代广场的蟋蟀 麦克米伦世纪大奖小说典藏本,100%推荐,2017-10-01,五星评分：,3429,&yen;17.00,&yen;20.00,8.5折
320,http://img3m7.ddimg.cn/92/3/26918687-1_l_6.jpg,幽微的人性,100%推荐,2019-04-01,五星评分：,1492,&yen;34.70,&yen;39.80,8.7折
321,http://img3m8.ddimg.cn/73/28/20975698-1_l_7.jpg,创业史（七年级下册自主阅读推荐）,99.9%推荐,2009-01-01,五星评分：,1614,&yen;24.80,&yen;36.00,6.9折
322,http://img3m3.ddimg.cn/80/14/25236863-1_l_6.jpg,经典译林：傅雷家书（新课标八年级下必读！独家收录傅雷家人书信！呈现傅雷家书通信往来全貌。傅雷家人亲自编纂！）,100%推荐,2018-02-01,五星评分：,1004,&yen;39.20,&yen;49.00,8.0折
323,http://img3m6.ddimg.cn/25/12/23490646-1_l_1.jpg,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝好的诡计）,100%推荐,2014-06-01,五星评分：,8782,&yen;24.20,&yen;35.00,6.9折
324,http://img3m6.ddimg.cn/89/33/104336-1_l_3.jpg,西游记原著版（上、下册）（七年级上册必读、1-9年级必读书单）（团购电话:400-1066666转6）,99.9%推荐,2010-10-01,五星评分：,7557,&yen;30.70,&yen;47.20,6.5折
325,http://img3m8.ddimg.cn/30/22/27902388-1_l_9.jpg,富爸爸穷爸爸（新版本）当当投资理财类畅销图书！本版随书附赠价值198元的“小白财商在线课程”,100%推荐,2019-08-01,五星评分：,478,&yen;87.10,&yen;89.00,9.8折
326,http://img3m7.ddimg.cn/21/31/28508457-1_l_3.jpg,"俪殇 : 改变历史的女人. 1, 先秦卷（ 她们在山河飘零的悠悠岁月中傲世独立，刹那芳华 她们在男性主宰的寂寂长空中灵光乍现，灿若星河 ）",100%推荐,2020-03-10,五星评分：,58,&yen;34.70,&yen;39.80,8.7折
327,http://img3m5.ddimg.cn/54/24/22800645-1_l_14.jpg,钢铁是怎样炼成的 统编语文教科书八年级（下）指定阅读 中小学新课标必读名著 160000多名读者热评！,99.9%推荐,2012-07-01,五星评分：,2111,&yen;11.20,&yen;14.80,7.6折
328,http://img3m5.ddimg.cn/44/2/25097435-1_l_3.jpg,中国历代政治得失（新修订版）,100%推荐,2017-06-01,五星评分：,2077,&yen;32.00,&yen;32.00,10.0折
329,http://img3m0.ddimg.cn/1/13/25259950-1_l_5.jpg,小狗钱钱套装（全2册）青春有你吴泽林推荐！一个童话般的理财故事，一幅没有画框的风景。,100%推荐,2018-04-01,五星评分：,3123,&yen;72.20,&yen;76.00,9.5折
330,http://img3m7.ddimg.cn/96/16/27950667-1_l_3.jpg,我是猫（鲁迅，村上春树，芥川龙之介推崇备至！）,99.9%推荐,2019-09-01,五星评分：,126,&yen;43.50,&yen;58.00,7.5折
331,http://img3m5.ddimg.cn/9/8/25278075-1_l_22.jpg,观山海  “百鬼画师”杉泽绝美诠释山海经,99.9%推荐,2018-06-01,五星评分：,5408,&yen;164.40,&yen;168.00,9.8折
332,http://img3m8.ddimg.cn/82/30/28519408-1_l_6.jpg,百年曾祺 :1920―2020（汪曾祺百年诞辰纪念文集，附赠藏书票）当当独家钤印版,100%推荐,2020-03-01,五星评分：,61,&yen;63.00,&yen;100.00,6.3折
333,http://img3m9.ddimg.cn/50/23/28512149-1_l_3.jpg,尼尔斯骑鹅旅行记(教育部统编语文 六年级下，快乐读书吧推荐必读书目),100%推荐,2020-01-01,五星评分：,60,&yen;33.80,&yen;39.80,8.5折
334,http://img3m9.ddimg.cn/6/10/25257579-1_l_3.jpg,怪老头儿 曹文轩推荐儿童文学经典书系 6万多名读者热评！,100%推荐,2015-04-01,五星评分：,1122,&yen;17.10,&yen;22.80,7.5折
335,http://img3m2.ddimg.cn/76/8/1305744142-1_l_62.jpg,#凯迪克图书 现货进口英文原版正版 I Am a Bunny 我是一只兔子 金色斯凯瑞 幼儿英语启蒙纸板书 儿童英语启蒙早教原版绘本0-2-3-4岁 赠送音频,99.9%推荐,2004-01-01,五星评分：,1409,&yen;9.80,&yen;100.00,1.0折
336,http://img3m4.ddimg.cn/86/30/27858884-1_l_3.jpg,长腿叔叔（教会孩子们面对困难如何自强、面对挑战如何自信、面对帮助如何感恩。）,100%推荐,2019-04-01,五星评分：,480,&yen;45.80,&yen;58.00,7.9折
337,http://img3m3.ddimg.cn/96/29/20500323-1_l_6.jpg,曾国藩（全三册）,99.5%推荐,2009-01-01,五星评分：,982,&yen;87.00,&yen;100.00,8.7折
338,http://img3m1.ddimg.cn/45/32/25230591-1_l_6.jpg,神笔马良 二年级下册 曹文轩 陈先云 主编 统编语文教科书必读书目 人教版快乐读书吧名著阅读课程化丛书,100%推荐,2018-01-01,五星评分：,1278,&yen;13.30,&yen;13.80,9.6折
339,http://img3m9.ddimg.cn/81/32/28509309-1_l_3.jpg,庆余年（套装1-3）,99.8%推荐,2019-12-01,五星评分：,76,&yen;117.00,&yen;117.00,10.0折
340,http://img3m9.ddimg.cn/74/1/23685329-1_l_31.jpg,岛上书店（李现推荐，每个人的生命中，都有无比艰难的那一年，将人生变得美好而辽阔。加・泽文感动全球千万读者的治愈小说！）,99.9%推荐,2015-05-08,五星评分：,7769,&yen;33.30,&yen;35.00,9.5折
341,http://img3m8.ddimg.cn/2/10/23445578-1_l_11.jpg,马小跳玩数学 2年级    79000多名读者热评！,99.9%推荐,2014-02-01,五星评分：,1313,&yen;16.80,&yen;19.80,8.5折
342,http://img3m5.ddimg.cn/69/12/28499595-1_l_3.jpg,2020春 中学教材全解 七年级语文下 人教版统编版,100%推荐,2019-11-01,五星评分：,87,&yen;38.20,&yen;39.80,9.6折
343,http://img3m0.ddimg.cn/35/24/24516890-1_l_3.jpg,一只特立独行的猪（肖战推荐）,100%推荐,2017-04-01,五星评分：,4262,&yen;22.80,&yen;35.00,6.5折
344,http://img3m0.ddimg.cn/67/4/24003310-1_l_7.jpg,Python编程 从入门到实践,99.9%推荐,2016-07-01,五星评分：,2439,&yen;59.70,&yen;89.00,6.7折
345,http://img3m4.ddimg.cn/35/14/23993774-1_l_6.jpg,唐诗三百首 小学生 成长必读 绘本 注音版,99.9%推荐,2016-08-01,五星评分：,1597,&yen;30.00,&yen;40.00,7.5折
346,http://img3m0.ddimg.cn/9/18/28486170-1_l_8.jpg,我不怕这漫长黑夜（百万畅销作家苑子豪全新短篇故事集。何炅、韩寒真挚推荐，愿在迷茫的黑暗中，你的坚持都被照亮）,100%推荐,2019-11-01,五星评分：,1537,&yen;44.10,&yen;45.00,9.8折
347,http://img3m3.ddimg.cn/28/9/25547473-1_l_6.jpg,神奇校车大家族（全73册）,100%推荐,2018-10-01,五星评分：,605,&yen;736.90,&yen;828.00,8.9折
348,http://img3m2.ddimg.cn/9/26/25125912-1_l_1.jpg,舒克贝塔传（全10册）,100%推荐,2017-08-01,五星评分：,1758,&yen;166.00,&yen;200.00,8.3折
349,http://img3m3.ddimg.cn/94/0/28503283-1_l_3.jpg,2020春 小学教材全解 三年级语文下 人教版 统编版,99.8%推荐,2019-12-01,五星评分：,75,&yen;38.20,&yen;39.80,9.6折
350,http://img3m7.ddimg.cn/67/34/25327237-1_l_4.jpg,【2019诺贝尔经济学奖得主作品】 贫穷的本质（修订版）：我们为什么摆脱不了贫穷,100%推荐,2018-09-01,五星评分：,577,&yen;34.80,&yen;58.00,6.0折
351,http://img3m2.ddimg.cn/17/34/28510532-1_l_3.jpg,战胜强迫症（5位强迫症朋友真实自愈故事，8大典型强迫症状描述，2种方法，1套方案，21天自愈强迫症，恢复对未来的可控力。）,100%推荐,2020-03-03,五星评分：,54,&yen;34.70,&yen;39.80,8.7折
352,http://img3m6.ddimg.cn/55/19/26916076-1_l_2.jpg,100层的房子（全4册，《100层的房子》+《地下100层的房子》+《海底100层的房子》+《天空100层的房子》）,100%推荐,2018-08-01,五星评分：,622,&yen;148.20,&yen;156.00,9.5折
353,http://img3m4.ddimg.cn/17/26/25306694-1_l_22.jpg,小学生多功能成语词典 彩图版 涵盖成语故事成语接龙字典 新课标学生专用辞书工具书 四查笔画索引 开心辞书,100%推荐,2018-06-01,五星评分：,714,&yen;46.10,&yen;48.00,9.6折
354,http://img3m7.ddimg.cn/81/24/25166277-1_l_20.jpg,有匪全集（赵丽颖、王一博主演《有翡》原著小说。Priest扛鼎之作，全4册）,99.9%推荐,2017-10-01,五星评分：,2082,&yen;137.00,&yen;140.00,9.8折
355,http://img3m3.ddimg.cn/15/4/24044343-1_l_6.jpg,写给儿童的中国地理（全14册）,99.9%推荐,2016-09-01,五星评分：,4268,&yen;333.20,&yen;392.00,8.5折
356,http://img3m9.ddimg.cn/44/23/23415029-1_l_3.jpg,余秋雨 文化苦旅（1-9年级必读书单）,99.9%推荐,2014-03-01,五星评分：,2602,&yen;38.00,&yen;38.00,10.0折
357,http://img3m7.ddimg.cn/24/32/28496877-1_l_6.jpg,钱从哪里来：中国家庭的财富方案（罗振宇2020年跨年演讲推荐书目）,99.9%推荐,2020-01-01,五星评分：,172,&yen;44.25,&yen;59.00,7.5折
358,http://img3m0.ddimg.cn/55/21/26440480-1_l_2.jpg,拉封丹寓言 统编语文教科书三年级（下）推荐阅读（中小学新课标必读名著）10000多名读者热评！,100%推荐,2018-10-01,五星评分：,421,&yen;18.20,&yen;22.80,8.0折
359,http://img3m9.ddimg.cn/22/7/24186019-1_l_7.jpg,见识城邦・人类简史：从动物到上帝（新版）,100%推荐,2017-01-01,五星评分：,5594,&yen;40.80,&yen;68.00,6.0折
360,http://img3m0.ddimg.cn/27/8/27913770-1_l_3.jpg,我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童书馆出品）,100%推荐,2019-10-01,五星评分：,330,&yen;75.60,&yen;79.60,9.5折
361,http://img3m0.ddimg.cn/7/1/25108090-1_l_9.jpg,活了100万次的猫（珍藏版）,100%推荐,2017-04-01,五星评分：,2384,&yen;23.40,&yen;36.00,6.5折
362,http://img3m4.ddimg.cn/46/23/26487694-1_l_1.jpg,浮生六记（详细注解+准确优美直译，你一定能读懂原文，李现推荐）,99.9%推荐,2019-02-01,五星评分：,7632,&yen;27.30,&yen;35.00,7.8折
363,http://img3m5.ddimg.cn/40/13/25112875-1_l_5.jpg,海底两万里 七年级下 人教版名著阅读课程化丛书 教育部统编教材推荐必读书目 人民教育出版社,100%推荐,2017-06-01,五星评分：,588,&yen;29.50,&yen;38.80,7.6折
364,http://img3m0.ddimg.cn/67/7/27861340-1_l_3.jpg,世界简史,99.8%推荐,2019-04-01,五星评分：,366,&yen;39.30,&yen;49.80,7.9折
365,http://img3m9.ddimg.cn/77/14/25186469-1_l_3.jpg,一个人张灯结彩（易烊千玺推荐）,99.9%推荐,2017-09-01,五星评分：,382,&yen;38.00,&yen;38.00,10.0折
366,http://img3m3.ddimg.cn/38/7/28503623-1_l_3.jpg,2020春 小学教材全解 二年级语文下 人教版 统编版,100%推荐,2019-12-01,五星评分：,71,&yen;38.20,&yen;39.80,9.6折
367,http://img3m6.ddimg.cn/53/10/27855386-1_l_3.jpg,AWM绝地求生 上册+下册,99.8%推荐,2019-04-24,五星评分：,656,&yen;57.30,&yen;79.60,7.2折
368,http://img3m2.ddimg.cn/1/34/24185602-1_l_4.jpg,杀死一只知更鸟（精装）,100%推荐,2017-02-01,五星评分：,1957,&yen;37.90,&yen;48.00,7.9折
369,http://img3m9.ddimg.cn/91/7/23205889-1_l_2.jpg,《装在口袋里的爸爸》系列 第1辑（1-7）,99.9%推荐,2013-12-02,五星评分：,1577,&yen;96.00,&yen;101.00,9.5折
370,http://img3m6.ddimg.cn/39/16/27927246-1_l_8.jpg,伪装学渣1+2（全两册）（新锐作家木瓜黄暖心校园力作，讲述贺朝和谢俞两个学霸伪装学渣共同竞争的故事）,99.8%推荐,2019-09-01,五星评分：,397,&yen;43.80,&yen;79.60,5.5折
371,http://img3m6.ddimg.cn/87/30/25243206-1_l_5.jpg,神奇校车・动画版（全10册）,100%推荐,2011-04-05,五星评分：,3838,&yen;81.42,&yen;118.00,6.9折
372,http://img3m6.ddimg.cn/31/11/24041686-1_l_2.jpg,爱丽丝漫游奇境记（新课标经典插图本）,100%推荐,2016-11-01,五星评分：,1192,&yen;13.50,&yen;18.00,7.5折
373,http://img3m2.ddimg.cn/41/5/23949032-1_l_4.jpg,曹文轩纯美小说：青铜葵花,100%推荐,2016-04-01,五星评分：,6812,&yen;18.30,&yen;22.00,8.3折
374,http://img3m0.ddimg.cn/21/2/25283730-1_l_3.jpg,儒林外史(教育部统编《语文》推荐阅读丛书),100%推荐,2018-06-01,五星评分：,992,&yen;41.60,&yen;45.00,9.2折
375,http://img3m2.ddimg.cn/1/22/28497052-1_l_6.jpg,三生三世枕上书. 全二册,100%推荐,2019-12-01,五星评分：,87,&yen;86.10,&yen;92.00,9.4折
376,http://img3m3.ddimg.cn/8/33/27882863-1_l_2.jpg,盗墓笔记.套装（典藏纪念版共9册）（当当专供）,100%推荐,2019-06-01,五星评分：,357,&yen;364.50,&yen;405.00,9.0折
377,http://img3m2.ddimg.cn/98/5/24166592-1_l_6.jpg,李清照传：半生烟雨，半世落花,99.9%推荐,2016-12-01,五星评分：,2050,&yen;31.40,&yen;36.00,8.7折
378,http://img3m9.ddimg.cn/98/16/27942749-1_l_3.jpg,人间处方：夏目漱石写给青年的信（103个应对世界的方式，与不安、逆境、挫折从容共存的人生指南）,99.9%推荐,2019-10-01,五星评分：,244,&yen;41.10,&yen;45.00,9.1折
379,http://img3m3.ddimg.cn/60/4/26924793-1_l_2.jpg,国际大奖小说（全6册）-蒲公英儿童文学馆出品,100%推荐,2019-04-01,五星评分：,372,&yen;126.96,&yen;184.00,6.9折
380,http://img3m9.ddimg.cn/41/0/25170989-1_l_5.jpg,苏菲的世界（新版）（5-6年级读书清单）,100%推荐,2017-09-19,五星评分：,8295,&yen;38.00,&yen;38.00,10.0折
381,http://img3m6.ddimg.cn/68/27/25171016-1_l_27.jpg,培生幼儿英语：预备级（升级版）,100%推荐,2017-11-01,五星评分：,37471,&yen;100.30,&yen;118.00,8.5折
